feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	AST.PWY..L.arginine.degradation.II..AST.pathway.	BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	CITRULBIO.PWY..L.citrulline.biosynthesis	COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	GALACTITOLCAT.PWY..galactitol.degradation	GALACTUROCAT.PWY..D.galacturonate.degradation.I	GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	GLUDEG.I.PWY..GABA.shunt	GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	HISDEG.PWY..L.histidine.degradation.I	PWY.5103..L.isoleucine.biosynthesis.III	PWY.5659..GDP.mannose.biosynthesis	PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	PWY.5695..inosine.5..phosphate.degradation	PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	PWY.7013...S..propane.1.2.diol.degradation	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	PWY.7392..taxadiene.biosynthesis..engineered.	PWY.7977..L.methionine.biosynthesis.IV
La93	2.08996270411053	1.80287439412456	1.57433794628566	1.8497556589327	2.43993234578184	2.24145488633417	1.67082856524991	3.20577236302858	2.5544338569567	1.28497340615012	0.681499720841956	1.80328285996412	2.09102482222822	2.62608792669879	1.92986051105486	2.1003496231648	2.40360068220203	2.10820376484449	2.41073620310569	2.22089442566518	2.87717749046325	3.70670122930003	2.2818299111754	6.2448611778174	2.2644848260004	2.76886985406744
La94	5.21309937584607	4.03669423134333	3.30318812633544	4.02946647277398	3.62358867613943	4.32194159069534	1.67082856524991	4.74444084082157	3.92718007106129	1.28497340615012	4.16664204243843	1.80328285996412	5.38340979473849	5.87556741260929	1.92986051105486	2.1003496231648	3.53018793800356	4.1153929375664	2.41073620310569	2.22089442566518	2.87717749046325	4.91037423334853	2.2818299111754	4.17689354226237	2.2644848260004	1.76886985406744
La95	2.08996270411053	1.80287439412456	1.57433794628566	1.8497556589327	2.43993234578184	2.24145488633417	3.93770625875536	4.46149014611902	2.5544338569567	2.37178252439292	0.681499720841956	1.80328285996412	3.96525515599563	2.62608792669879	1.92986051105486	2.1003496231648	2.40360068220203	4.26379745296873	2.41073620310569	4.29396611634319	2.87717749046325	4.60835555538222	2.2818299111754	5.32506377975258	2.2644848260004	4.62572098764504
La96	12.0799737934155	10.8023793087514	10.4405772886161	1.8497556589327	12.7721112674408	10.6346813421369	9.32134833898858	11.9681243311558	2.5544338569567	8.90132675711931	0.681499720841956	9.41501852065974	12.5985422936251	13.0789445252341	3.36742376978864	8.63642996785584	12.5990575833093	12.0799688585497	9.35376792841573	11.8392952992757	8.12390256793939	11.1695341658623	10.1841398378019	12.4263903966675	10.299753357191	11.5699998362106
La97	9.00222902081141	6.63321224999376	6.7873443417907	1.8497556589327	8.00911440899702	6.33651151168278	6.02788133926376	8.30879744320127	2.5544338569567	4.07442052124281	0.681499720841956	4.94850281951032	7.18294840288651	9.21278570936879	1.92986051105486	6.2212949921244	8.28163185195991	5.87696606238064	7.75524293137214	7.37283347605376	2.87717749046325	7.85718014182483	6.82427458409955	8.98359904936268	2.2644848260004	8.04695470051133
La99	7.93883890987665	5.88795424540942	5.42906360462794	5.06131919996305	6.7507373399869	6.14456355075693	4.34915548016363	7.4272274697902	3.71532300142935	5.29686096775258	0.681499720841956	1.80328285996412	8.24201065911946	8.47534596356202	1.92986051105486	5.88847613660502	6.79932785010348	6.58897246649817	4.08728398075293	6.48601087584456	2.87717749046325	6.95357707364713	6.29929856569816	7.41112314201064	4.25036102834128	6.4654991616907
La100	5.00410483076722	4.63647233199355	7.23896627359227	1.8497556589327	6.82578364162626	4.71325439322511	5.7540953567159	6.5956133111737	3.94430939774608	1.28497340615012	4.34426204770557	1.80328285996412	7.18534257581892	7.82239392689212	1.92986051105486	5.40594225607582	6.46663502213889	5.09835169803863	5.21345119711516	6.80410715628734	2.87717749046325	5.49989110624297	2.2818299111754	8.1805090363479	2.2644848260004	6.34995205507693
La101	5.77347915427164	4.11102928702883	4.95817613586581	1.8497556589327	5.4013531410953	2.24145488633417	1.67082856524991	1.79103187008719	2.5544338569567	1.28497340615012	0.681499720841956	3.34463628880104	5.65692389914294	6.39048900670117	1.92986051105486	2.1003496231648	5.38977484372309	3.68872426295961	2.41073620310569	5.60055287639999	2.87717749046325	1.95243082528521	2.2818299111754	3.47252998589564	2.2644848260004	4.32140594394599
La102	2.08996270411053	1.80287439412456	1.57433794628566	1.8497556589327	5.52696249621343	2.24145488633417	1.67082856524991	1.79103187008719	2.5544338569567	1.28497340615012	0.681499720841956	1.80328285996412	2.09102482222822	6.08454319472765	1.92986051105486	2.1003496231648	5.4445059096763	3.74151158333645	2.41073620310569	3.33691140660206	2.87717749046325	1.95243082528521	2.2818299111754	3.5050962050928	2.2644848260004	1.76886985406744
La103	8.33429835543337	5.70041122790653	4.99990707522894	1.8497556589327	7.17231657668915	6.31161049466218	2.83384152176438	7.62912071676346	2.5544338569567	1.28497340615012	0.681499720841956	1.80328285996412	8.95390469839742	8.73459768100325	1.92986051105486	4.30524065509271	7.02850087336639	4.54482861036325	5.43882988365362	6.87249299743262	2.87717749046325	8.52089187499805	6.44496229902055	6.7688120630996	2.2644848260004	7.22471808170422
