feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	CITRULBIO.PWY..L.citrulline.biosynthesis	COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	GALACTITOLCAT.PWY..galactitol.degradation	GALACTUROCAT.PWY..D.galacturonate.degradation.I	GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	GLUDEG.I.PWY..GABA.shunt	GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.	HEME.BIOSYNTHESIS.II.1..heme.b.biosynthesis.V..aerobic.	HISDEG.PWY..L.histidine.degradation.I	PWY.5103..L.isoleucine.biosynthesis.III	PWY.5659..GDP.mannose.biosynthesis	PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	PWY.5695..inosine.5..phosphate.degradation	PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	PWY.7013...S..propane.1.2.diol.degradation	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	PWY.7392..taxadiene.biosynthesis..engineered.	PWY.7977..L.methionine.biosynthesis.IV
La48	6.4942258439751	4.77672918614134	4.25811823597724	4.939175582175	4.17127410177193	3.71989428251923	5.75487817557475	4.16005087734543	1.28497340615012	5.31483268472904	3.92595179379941	5.55414400040953	7.03745148700562	1.92986051105486	1.87102030335075	5.10170875017331	5.74344603313834	4.56068783723194	5.96716725344416	6.0923416300486	5.53239350246464	2.99910556774801	5.90730726670023	2.2644848260004	6.09798963121761
La49	6.88262935250905	3.8234981782475	3.57039265305225	6.10869915764852	4.13684355528391	4.07395357278501	5.79538920999067	1.93418611301334	5.3098393961735	4.85008044206901	1.52906361130883	6.90863643862954	7.49659112656166	1.92986051105486	1.87102030335075	5.93995646248944	4.83128261767246	4.55525548871536	5.28013035370906	2.87717749046325	1.95243082528521	4.56460879674358	6.25946035195182	2.2644848260004	6.54404119627587
La51	5.69342568391663	3.40382727877183	4.4838620563864	4.09815614768081	2.24145488633417	1.67082856524991	4.98655116751933	4.14948746228637	3.21766521972483	3.63518931048832	3.30642222725344	5.26958500629919	6.89830617986052	1.92986051105486	1.87102030335075	3.76727355758733	5.70740381234194	2.04546515929618	5.45796875767119	2.87717749046325	6.14588906858837	1.68842874390552	7.12578162479956	2.2644848260004	6.01108439675832
La52	6.31083999059889	3.18250431017671	5.4029464843538	4.72472828117561	4.33575801685114	1.67082856524991	5.82479647850989	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	6.3371535635866	7.09877875781239	1.92986051105486	1.87102030335075	4.46706349747669	5.54708954480083	2.04546515929618	6.31590776497412	2.87717749046325	5.31316548996247	4.4806525500649	6.53988196437808	2.2644848260004	6.78328591560449
La53	4.48874482855308	1.80287439412456	2.6681965482793	2.43993234578184	2.24145488633417	1.67082856524991	1.57246333654921	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	2.57477270777851	4.68702665493047	1.92986051105486	1.87102030335075	2.40360068220203	1.95426524171438	2.04546515929618	4.36178445594666	2.87717749046325	3.14324717007161	1.68842874390552	5.23491349205164	2.2644848260004	3.77765091384413
La55	7.22485275568648	1.80287439412456	5.65872504741225	7.07419122615274	2.24145488633417	4.63050311960797	7.21319701978073	1.93418611301334	3.80779791844164	0.681499720841956	1.52906361130883	7.40149751026668	7.65632128179207	1.92986051105486	1.87102030335075	7.03706507966502	6.46656498055875	3.04546515929618	6.11092455502545	2.87717749046325	6.85716343684753	4.28033778200597	7.07719783424274	2.2644848260004	6.59979254146343
La56	7.70139685122861	5.72188591564719	4.23538693762666	8.30400829068692	2.24145488633417	3.8029855498244	5.98354573143931	1.93418611301334	5.68918365206943	3.41880034689403	5.25875504091885	7.6412216278659	7.82476646188941	1.92986051105486	1.87102030335075	8.22093560607646	5.7563205984643	3.81448846139381	6.5549338017966	2.87717749046325	5.57468677174004	4.32164864146171	7.10941230375764	4.47562201475049	7.03785040711686
La57	7.55321274561036	1.80287439412456	8.44406864247194	5.98141647771372	2.24145488633417	5.44240796834702	4.27503539597025	1.93418611301334	3.5551513016178	4.84666730787309	1.52906361130883	6.77973804953093	9.4466397562715	6.33531698007752	1.87102030335075	5.80024403519223	7.7557557012051	2.04546515929618	8.45565830923547	2.87717749046325	1.95243082528521	4.40750738852227	9.7053453050424	2.2644848260004	6.9034752868611
La58	7.1258124676456	4.87171279825542	3.84938698502077	5.62526618984478	5.10278736210917	1.67082856524991	5.81993083481459	1.93418611301334	3.6319717937781	0.681499720841956	1.52906361130883	7.63408812733927	7.16278542637746	1.92986051105486	3.338944658811	5.30493731123255	5.81764918093782	2.04546515929618	6.79690758686809	2.87717749046325	1.95243082528521	4.48296375208758	6.77490861090797	2.2644848260004	4.71840200961878
La59	6.13189503260329	6.12591459041215	4.6407066045671	5.46352950135388	2.24145488633417	4.10815309068657	7.09299150935193	1.93418611301334	4.52207337199772	0.681499720841956	3.90293221484999	7.16682946204601	6.19967965658277	1.92986051105486	4.71331474037429	7.15404836887562	4.78537328091064	2.04546515929618	4.17644916926828	2.87717749046325	6.72849867795512	4.59515110020539	5.70837535442849	4.07882192524766	7.30279019766982
La60	6.36610314314441	3.63700450917769	3.3985284003802	5.52479158364783	2.24145488633417	1.67082856524991	5.19967139548776	1.93418611301334	4.26067435159966	0.681499720841956	1.52906361130883	5.35508549352371	6.69238040953984	1.92986051105486	1.87102030335075	5.81159049264249	3.24019628852462	2.04546515929618	1.58644624473166	2.87717749046325	6.45584049009004	1.68842874390552	5.15876327873828	2.2644848260004	5.14779603421283
La61	6.0259660838765	4.41789927488126	4.04632595669443	4.95819493834234	2.24145488633417	3.26727720938231	4.65588750275215	1.93418611301334	4.00305818925082	4.22444448599694	1.52906361130883	5.21565059545017	6.24410016538575	1.92986051105486	1.87102030335075	5.06152013199944	1.95426524171438	3.71543030888722	1.58644624473166	2.87717749046325	6.50813103248925	1.68842874390552	2.27593291501281	2.2644848260004	4.95557933473756
La62	3.62472694082968	3.04553744926947	5.34336209849517	2.43993234578184	2.24145488633417	1.67082856524991	1.57246333654921	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	1.57477270777851	4.45272355244393	1.92986051105486	1.87102030335075	2.40360068220203	2.95426524171438	2.04546515929618	4.48604478645058	2.87717749046325	1.95243082528521	1.68842874390552	2.27593291501281	2.2644848260004	1.76886985406744
La63	2.08996270411053	1.80287439412456	3.88715883940541	2.43993234578184	2.24145488633417	1.67082856524991	2.87263792040935	2.93418611301334	1.28497340615012	4.36029473337723	1.52906361130883	2.87992748122074	2.62608792669879	1.92986051105486	1.87102030335075	2.40360068220203	4.19456970786647	2.04546515929618	5.04585792838384	2.87717749046325	3.56889160274434	1.68842874390552	4.35292103263146	2.2644848260004	3.04203205658739
La64	2.08996270411053	3.34320967772448	2.66725649408764	4.92943093061356	2.24145488633417	1.67082856524991	2.79103187008719	1.93418611301334	3.06557009187153	0.681499720841956	3.45962260031338	4.18468041413999	2.62608792669879	4.06644583915379	1.87102030335075	4.97509488277245	3.37553253519696	4.45765402390701	1.58644624473166	2.87717749046325	1.95243082528521	1.68842874390552	5.17683004720738	2.2644848260004	3.17165174915359
La65	9.67537347412399	7.72109767898142	7.88703709451176	9.26867988026627	6.83864070220706	8.6622589004072	9.49429294943243	6.42892073645239	8.56223734473784	5.53706880376271	5.64450271026502	9.78451554030438	10.1988615887483	4.38126125555621	6.24492986097914	9.25000419332566	8.15123233706428	8.86741189461658	9.03978146978992	2.87717749046325	6.47287980209591	7.43888495970893	9.1866190820797	5.85235182932648	9.38677303220631
La66	2.08996270411053	1.80287439412456	1.57433794628566	2.43993234578184	2.24145488633417	1.67082856524991	1.57246333654921	1.93418611301334	1.28497340615012	1.68149972084196	1.52906361130883	3.33083863630037	4.92390696818318	1.92986051105486	1.87102030335075	2.40360068220203	3.74729649307905	2.04546515929618	1.58644624473166	2.87717749046325	4.40965914318441	1.68842874390552	5.15065808185652	2.2644848260004	1.76886985406744
La67	7.73029851973927	3.05433787934082	6.86144785931889	7.21079355186062	4.68454516234965	4.16554423098979	5.19521475425304	1.93418611301334	3.16455587392819	0.681499720841956	3.10251163527492	7.09988916307662	7.78149089956081	1.92986051105486	6.27417595678625	7.25651409580645	6.27250225149855	2.04546515929618	6.88418876247735	4.80530288710468	7.70909823093938	5.27909023675898	7.15700932702978	3.86393762965313	7.01391528912451
La69	2.08996270411053	1.80287439412456	3.43814173890112	2.43993234578184	2.24145488633417	1.67082856524991	1.57246333654921	1.93418611301334	1.28497340615012	0.681499720841956	1.52906361130883	1.57477270777851	2.62608792669879	1.92986051105486	1.87102030335075	2.40360068220203	4.02340657294811	2.04546515929618	4.73213226234399	2.87717749046325	1.95243082528521	1.68842874390552	2.27593291501281	2.2644848260004	3.69352304377148
