Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg_39 pair1	decontaminated hg_39 pair2	decontaminated hg_39 orphan1	decontaminated hg_39 orphan2	final pair1	final pair2	final orphan1	final orphan2
La96	10327062.0	10327062.0	9756773.0	9756773.0	259162.0	155595.0	9752962.0	9752962.0	258775.0	155456.0	9752962.0	9752962.0	258775.0	155456.0
La97	925790.0	925790.0	790077.0	790077.0	32393.0	18326.0	786820.0	786820.0	31892.0	18147.0	786820.0	786820.0	31892.0	18147.0
La98	15032209.0	15032209.0	14151151.0	14151151.0	419504.0	240130.0	14146947.0	14146947.0	419129.0	239974.0	14146947.0	14146947.0	419129.0	239974.0
La99	1122535.0	1122535.0	982260.0	982260.0	41269.0	25156.0	977899.0	977899.0	40685.0	24967.0	977899.0	977899.0	40685.0	24967.0
Lasse10	220792.0	220792.0	46052.0	46052.0	23366.0	5353.0	45415.0	45415.0	22687.0	5220.0	45415.0	45415.0	22687.0	5220.0
Lasse11	132960.0	132960.0	28508.0	28508.0	14388.0	3021.0	28340.0	28340.0	14166.0	2984.0	28340.0	28340.0	14166.0	2984.0
Lasse12	170849.0	170849.0	58956.0	58956.0	17090.0	4071.0	58855.0	58855.0	16893.0	4027.0	58855.0	58855.0	16893.0	4027.0
Lasse13	142621.0	142621.0	18316.0	18316.0	15271.0	4085.0	17815.0	17815.0	14851.0	3996.0	17815.0	17815.0	14851.0	3996.0
Lasse14	92348.0	92348.0	13895.0	13895.0	10213.0	2578.0	13698.0	13698.0	9993.0	2523.0	13698.0	13698.0	9993.0	2523.0
Lasse15	124724.0	124724.0	18837.0	18837.0	13908.0	2931.0	18688.0	18688.0	13698.0	2872.0	18688.0	18688.0	13698.0	2872.0
Lasse16	100238.0	100238.0	11126.0	11126.0	10770.0	2376.0	10875.0	10875.0	10505.0	2325.0	10875.0	10875.0	10505.0	2325.0
Lasse17	84589.0	84589.0	6070.0	6070.0	9496.0	2153.0	5911.0	5911.0	9328.0	2123.0	5911.0	5911.0	9328.0	2123.0
