Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS00205	5.15536442329935	2.16642796444513	0.699743322945375	3.09603234987103	0.00196128962745879	0.0258714568721592	54	0.0498599408646736	NZ_CP028101.1		FAD-binding oxidoreductase	F. nucleatum	CRC vs Paired
C7Y58_RS08635	1.8688845993867	2.53973660368423	0.820499465598898	3.0953543666606	0.0019657788191073	0.0258714568721592	36	0.0341389483658909	NZ_CP028101.1		DUF1846 domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS03830	2.25149095363127	2.62855972389258	0.853256362083823	3.08062130058206	0.00206569194365807	0.0265754750054887	36	0.0306559353726261	NZ_CP028101.1	fabF	beta-ketoacyl-ACP synthase II	F. nucleatum	CRC vs Paired
C7Y58_RS09440	5.24546887970835	2.0583135369415	0.668119157166791	3.08075814749861	0.00206474285496982	0.0265754750054887	55	0.0871566403100613	NZ_CP028101.1	rpsD	30S ribosomal protein S4	F. nucleatum	CRC vs Paired
C7Y58_RS01525	2.78121722672257	2.9612266801878	0.964926903877716	3.06886114200737	0.00214876440706478	0.0273370582898797	28	0.0389636667534484	NZ_CP028101.1		DUF4198 domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS01875	2.42505412954056	2.26377874382483	0.741201977155422	3.05419954829685	0.00225661925191653	0.028085098298309	40	0.0425008900656744	NZ_CP028101.1	glyS	glycine--tRNA ligase subunit beta	F. nucleatum	CRC vs Paired
C7Y58_RS08975	2.69049698323621	2.23763084464249	0.732596058923867	3.05438558860038	0.00225522016412273	0.028085098298309	41	0.0436122016043815	NZ_CP028101.1		heavy metal translocating P-type ATPase	F. nucleatum	CRC vs Paired
I6J55_RS12400	14.0031528910044	0.959419772138872	0.315423549285625	3.04168719904324	0.00235256229320176	0.0289643422120001	98	0.238593166328507	NZ_CP069563.1	rpsT	30S ribosomal protein S20	B. fragilis	CRC vs Paired
C7Y58_RS00155	7.97846323713795	2.33863015729267	0.773773193589139	3.02237164154648	0.00250802423337334	0.0299869740534807	53	0.140675777704624	NZ_CP028101.1	radD	autotransporter adhesin RadD	F. nucleatum	CRC vs Paired
C7Y58_RS00800	3.18332942675093	2.38797179392987	0.790293065552734	3.02162817569418	0.00251419171103419	0.0299869740534807	38	0.046715742364917	NZ_CP028101.1	rpsF	30S ribosomal protein S6	F. nucleatum	CRC vs Paired
