Geneid	rab.all	rab.win.CRC	rab.win.Healthy	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
I6J55_RS19710	0.967812707045111	1.09894316017412	0.828233195643653	0.0422757353358412	4.54517701263498	0.00756974782908681	0.494993992858264	0.778973453848788	0.992286106540365	0.806976894247504	0.997889571228833	27	0.00566786629103857	NZ_CP069563.1		arylsulfatase	B. fragilis	CRC vs Healthy
C7Y58_RS02035	-0.226482684688531	-0.25953924485027	-0.207574855788681	0.0774928143461278	4.44656773689095	0.0137640170521604	0.493392070572915	0.732313551862214	0.992304781181535	0.749893057334641	0.991290459070644	10	0.00785806005363311	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Healthy
I6J55_RS19795	0.342070392283368	0.341438896245588	0.343368596132776	0.0560660012157594	4.59446122913501	0.0103538791809118	0.495592948776903	0.681896455348631	0.992328124887064	0.763964138445954	0.989198153155522	18	0.00571226211055062	NZ_CP069563.1		GIN domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS11030	-0.215601852530842	-0.250700426678285	-0.188171942279893	0.0585288986176815	4.29206744725518	0.0091757016895595	0.495394473429602	0.718213430849578	0.992334044278619	0.745446130710287	0.988024765836084	10	0.00170183974796197	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS17605	0.0858890845185769	-0.132368378140623	0.333547348255849	0.174255880648704	4.26480332519527	0.0362113646570652	0.479375250576488	0.701912655455525	0.992348791903209	0.6493213941162	0.994511941355937	19	0.00257495753169899	NZ_CP069563.1	ruvA	Holliday junction branch migration protein RuvA	B. fragilis	CRC vs Healthy
C7Y58_RS09600	-0.0916214561386681	-0.0199936443026569	-0.16681871506052	-0.101582521504377	4.49663333138835	-0.0179730738580741	0.490384615513279	0.765046146908275	0.992355225970319	0.783657381009356	0.984146274365267	9	0.00467635965526942	NZ_CP028101.1		Nif3-like dinuclear metal center hexameric protein	F. nucleatum	CRC vs Healthy
I6J55_RS15390	-0.179665838272497	-0.272041938378553	-0.109912589259825	0.106591222378894	4.34819815377936	0.021939463219599	0.488381410411905	0.736365905749859	0.992358922251773	0.724816667813945	0.98792267737366	12	0.00276733941625121	NZ_CP069563.1		TetR/AcrR family transcriptional regulator	B. fragilis	CRC vs Healthy
C7Y58_RS01855	-0.319650367389269	-0.423190098824217	-0.235655473127636	0.218344037435054	4.45096379338933	0.0376881657666805	0.481971154087624	0.626312846519093	0.992362258595605	0.677087005651567	0.986099348197265	9	0.00275254080974719	NZ_CP028101.1		BMC domain-containing protein	F. nucleatum	CRC vs Healthy
I6J55_RS15375	0.340410161994838	0.38937523809422	0.252066122356546	-0.120869169602001	4.19803644780231	-0.0239734458866024	0.48758012837136	0.687572295140069	0.992370486733722	0.724390733154966	0.992121174884725	22	0.00235297843413873	NZ_CP069563.1	hutI	imidazolonepropionase	B. fragilis	CRC vs Healthy
I6J55_RS06065	1.02634568424742	1.00468582527294	1.03424748090831	0.065669947428499	4.16944951314628	0.0126929112518972	0.491389667716236	0.776298519781674	0.992374567263268	0.774305828896029	0.994416007351681	30	0.00711812972843225	NZ_CP069563.1		bifunctional metallophosphatase/5'-nucleotidase	B. fragilis	CRC vs Healthy
C7Y58_RS00220	-0.0407239249804414	0.0401424534403612	-0.133549765260019	-0.197170291064562	4.44750614524094	-0.036286447897272	0.480977172861745	0.755287095522112	0.992379957904604	0.69297966875913	0.976457149788853	12	0.00532749834144618	NZ_CP028101.1		LutC/YkgG family protein	F. nucleatum	CRC vs Healthy
