Geneid	rab.all	rab.win.CRC	rab.win.Paired	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
I6J55_RS01220	2.78058216594672	3.02173656505524	2.4807145084762	-0.506148281712027	3.42040461507688	-0.12274230475089	0.426682693309942	0.347543897225448	0.993340065622835	0.336308492008791	0.993635608359333	53	0.0280379914062041	NZ_CP069563.1	rlmD	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	B. fragilis	CRC vs Paired
I6J55_RS00910	3.51205705232782	3.79322186604389	3.1371504950374	-0.666516811151302	3.54260215630233	-0.141294035383901	0.412660257615291	0.201439690983033	0.993352802172361	0.201562162299753	0.992408239831133	55	0.0598278499074227	NZ_CP069563.1	yidC	membrane protein insertase YidC	B. fragilis	CRC vs Paired
I6J55_RS14200	-0.434609968317696	-0.707218402117637	-0.252766825688087	0.397066988505943	4.46836934288001	0.0833615579589219	0.463756508296339	0.550843918102536	0.993353048569532	0.570993539949329	0.993297344258084	10	0.00142859554771704	NZ_CP069563.1		site-specific integrase	B. fragilis	CRC vs Paired
C7Y58_RS08100	-0.200545746933011	-0.344183627228682	-0.0756034394895515	0.378892787869247	4.40054410594475	0.0666945085877975	0.46495795001011	0.57411739489594	0.993358089023495	0.562717074621525	0.990733234226942	11	0.00240985309564389	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
I6J55_RS09065	-0.29544371596347	-0.678780120686947	0.043584433152791	0.525770100746842	4.50479376026975	0.100250048765488	0.447516026350878	0.547930961118025	0.993371508289007	0.530957669871059	0.985859517284559	13	0.00183264277333398	NZ_CP069563.1		SusD/RagB family nutrient-binding outer membrane lipoprotein	B. fragilis	CRC vs Paired
C7Y58_RS06020	-0.581381854422006	-0.855414991601664	-0.333116542603557	0.450135820147093	4.6165226635197	0.0868260882106331	0.458950741441429	0.53882498180469	0.993396126513897	0.559675616347426	0.993149123726225	8	0.00105340883821559	NZ_CP028101.1		AbgT family transporter	F. nucleatum	CRC vs Paired
C7Y58_RS07985	0.265103297987364	0.68042635258213	-0.111932634286346	-0.588081778317049	4.4787537771682	-0.118110976147074	0.436523829456594	0.538853048348695	0.993400090150203	0.429573381722206	0.964627310614661	16	0.00965384264063333	NZ_CP028101.1	pssA	CDP-diacylglycerol--serine O-phosphatidyltransferase	F. nucleatum	CRC vs Paired
I6J55_RS16255	-0.59167944943714	-0.883055199907552	-0.266519351272026	0.60226596764833	4.33920048250323	0.124754166384238	0.436298077789219	0.474141646683501	0.993406493170085	0.423410870048248	0.984598938401892	6	0.00137087451548605	NZ_CP069563.1		RNA polymerase sigma-70 factor	B. fragilis	CRC vs Paired
C7Y58_RS02170	-0.520880967251602	-0.857982758714277	-0.212948390826705	0.6766555988918	4.44451297295053	0.127270229057901	0.434695513709192	0.48714159727734	0.993408536266455	0.428466801714834	0.973785389900323	6	0.00118328116073533	NZ_CP028101.1		transcription repressor NadR	F. nucleatum	CRC vs Paired
I6J55_RS11425	0.576433045418922	0.195687294100541	0.952304964868876	0.58255773962664	4.32719326299786	0.110185811385914	0.438526232312005	0.436642775876219	0.993425068371034	0.393595250860683	0.993736439565544	26	0.00544020728777095	NZ_CP069563.1		SRPBCC family protein	B. fragilis	CRC vs Paired
