Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
I6J55_RS04745	0.0440885379598534	-2.94958383030306	5.5081040141183	-0.535498934432379	0.592304894226716	NA	1	3.39787252405524e-05	NZ_CP069563.1		DnaB-like helicase C-terminal domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS04750	0.867975370865193	-2.58693486281344	5.50455855766416	-0.469962275033223	0.638381970431104	NA	2	0.000101936175721657	NZ_CP069563.1		toprim domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS04755	0.433388737456464	-0.980507871514834	5.49163891081235	-0.178545583101674	0.858294526112911	NA	2	0.000203872351443314	NZ_CP069563.1		PHP domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS21875	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04760	0.292565813402812	-1.39737695946284	5.49494696183693	-0.254302174191634	0.799262120243371	NA	2	0.000203872351443314	NZ_CP069563.1		ATP-dependent DNA helicase	B. fragilis	CRC vs Healthy
I6J55_RS04765	1.42185244528262	-0.488593442681171	3.56172574194675	-0.137178850389002	0.890889427802505	NA	5	0.0013591490096221	NZ_CP069563.1		helix-hairpin-helix domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS04770	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		ATP-binding cassette domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS04775	0	NA	NA	NA	NA	NA	0	0	NZ_CP069563.1		3'-5' exonuclease	B. fragilis	CRC vs Healthy
I6J55_RS04780	0.104702543547026	-2.59636942566371	5.50464087704638	-0.471669175820393	0.637162942028473	NA	1	3.39787252405524e-05	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS04785	0.209405087094052	-1.78398770774999	5.49768158265766	-0.324498187268165	0.745560894428418	NA	1	6.79574504811048e-05	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
