Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS03605	5.42129874618436	3.31221090482184	3.74253429990477	0.885018182707402	0.376146824727271	NA	4	0.0011382872955585	NZ_CP028101.1		NAD-dependent epimerase/dehydratase family protein	F. nucleatum	CRC vs Paired
C7Y58_RS03610	0.468722475093287	-0.367588050895019	4.08083216782491	-0.0900767382185542	0.928226234273388	NA	3	0.000220861714063591	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03615	3.07676823876645	2.49220569099653	4.05506957821676	0.614590118104088	0.53882544208894	NA	3	0.0010023723945963	NZ_CP028101.1		glycosyltransferase family 21 protein	F. nucleatum	CRC vs Paired
C7Y58_RS03620	2.23687690936949	2.0231591040688	3.44880281037901	0.586626494846327	0.557454584411478	NA	4	0.000696563867431324	NZ_CP028101.1		SDR family NAD(P)-dependent oxidoreductase	F. nucleatum	CRC vs Paired
C7Y58_RS03625	0	NA	NA	NA	NA	NA	0	0	NZ_CP028101.1		leucine-rich repeat domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS03630	3.90541205827279	-0.0510671060284373	3.82943291249672	-0.0133354225535035	0.989360187586216	NA	4	0.000509680878608286	NZ_CP028101.1	dhaM	dihydroxyacetone kinase phosphoryl donor subunit DhaM	F. nucleatum	CRC vs Paired
C7Y58_RS03725	5.03610030580584	0.687339473707472	3.10286007706737	0.221518037112747	0.824689093838436	NA	5	0.00200474478919259	NZ_CP028101.1		FxLYD domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS03760	0.265196292765405	-0.611629382711261	4.08316493366436	-0.149792965174778	0.88092795971334	NA	3	0.00339787252405524	NZ_CP028101.1		ShlB/FhaC/HecB family hemolysin secretion/activation protein	F. nucleatum	CRC vs Paired
C7Y58_RS03765	5.40306350547559	3.25666604903768	2.37976265726108	1.368483549862	0.171160767680751	NA	7	0.0172272136969601	NZ_CP028101.1		two-partner secretion domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS10665	2.81855879546941	2.34024650139726	4.05578730107345	0.57701411037454	0.563929923561858	NA	3	0.000322797889785248	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03775	1.38890153374061	1.28712720400852	2.99909119314363	0.429172412946658	0.667797757584725	NA	5	0.0003567766150258	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03780	3.6456841125211	2.7141100178507	3.09165949776768	0.877881286671581	0.380008145559817	NA	5	0.00326195762309303	NZ_CP028101.1		IS3 family transposase	F. nucleatum	CRC vs Paired
C7Y58_RS03785	0.0838489068983156	-1.65016843480765	4.09458758450139	-0.403012122894569	0.686939306261456	NA	3	0.00112129793293823	NZ_CP028101.1		IS110-like element ISFnu3 family transposase	F. nucleatum	CRC vs Paired
C7Y58_RS03790	0	0	0	0	1	NA	1	0.000611617054329943	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03795	0.0751453079423142	-1.72385427238086	4.09542928782942	-0.420921508156352	0.673812398983438	NA	1	6.79574504811048e-05	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03800	0.666815934319905	0.396652776902875	4.07352775502236	0.0973732844740853	0.92242995979318	NA	2	0.000373765977646076	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS10765	0.250235683059557	-0.727336007889127	4.08422316473735	-0.178084296217908	0.858656774702196	NA	3	0.000101936175721657	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03850	2.77488542936203	-0.614924170478956	1.99119864522003	-0.30882110730394	0.757457612127684	NA	7	0.0011382872955585	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03855	2.07517926683862	1.9462425578497	2.88786706518362	0.673937724251152	0.500350907131402	NA	5	0.000815489405773257	NZ_CP028101.1	coaD	pantetheine-phosphate adenylyltransferase	F. nucleatum	CRC vs Paired
C7Y58_RS03870	0.0440885379598534	-2.08649944770137	4.10019356214925	-0.508878280031166	0.610837545249248	NA	1	3.39787252405524e-05	NZ_CP028101.1		phosphoribosyltransferase-like protein	F. nucleatum	CRC vs Paired
C7Y58_RS03875	0	NA	NA	NA	NA	NA	0	0	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03880	0	NA	NA	NA	NA	NA	0	0	NZ_CP028101.1		retron St85 family RNA-directed DNA polymerase	F. nucleatum	CRC vs Paired
C7Y58_RS03890	2.8408050052694	-2.30654520810733	2.23005346968128	-1.03430040555798	0.300995747331264	NA	6	0.00186882988823038	NZ_CP028101.1		homocysteine S-methyltransferase family protein	F. nucleatum	CRC vs Paired
C7Y58_RS03900	1.53108738564675	1.45011942820865	3.67445474672307	0.394648873959295	0.69310203892618	NA	4	0.000305808527164971	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03905	0.196066419732422	-1.15661271021144	4.08891888233604	-0.282865163994317	0.777280199530282	NA	3	0.000101936175721657	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS10670	0.257250456725592	-0.64388129656252	4.08345193730612	-0.157680635513319	0.874708460208358	NA	2	0.000220861714063591	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS10545	0.385245229400169	-0.267006494192885	4.0796589739207	-0.0654482386639985	0.947817117480418	NA	2	0.00013591490096221	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS03920	0.0220442689799267	-2.44347894393016	4.10605382836581	-0.5950917952049	0.55178211277989	NA	1	1.69893626202762e-05	NZ_CP028101.1		coproporphyrinogen III oxidase	F. nucleatum	CRC vs Paired
C7Y58_RS03980	2.31905018493356	2.04666597559911	4.05739769898433	0.50442823884665	0.613960478243422	NA	3	0.000237851076683867	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS04045	0.176354151839414	-1.01788138840402	4.08725768578254	-0.249037733036677	0.803331593945187	NA	2	0.00180087243774928	NZ_CP028101.1		ABC transporter permease	F. nucleatum	CRC vs Paired
C7Y58_RS04050	0.335348366680044	-0.371592648568092	4.080880439166	-0.0910569800089595	0.927447315557853	NA	4	0.00110430857031795	NZ_CP028101.1		ABC transporter permease	F. nucleatum	CRC vs Paired
C7Y58_RS04055	0.933433678939029	0.738106533986435	3.403922586191	0.216839988365417	0.828333047081724	NA	4	0.00227657459111701	NZ_CP028101.1		ABC transporter ATP-binding protein	F. nucleatum	CRC vs Paired
C7Y58_RS04060	0.631542407213647	0.145934456248462	4.07555838761258	0.0358072299226583	0.971436068120922	NA	3	0.000237851076683867	NZ_CP028101.1		PadR family transcriptional regulator	F. nucleatum	CRC vs Paired
C7Y58_RS04065	3.30898150695548	2.60668652732958	3.66762657424762	0.710728443738663	0.477252530068018	NA	4	0.000951404306735467	NZ_CP028101.1		class I SAM-dependent methyltransferase	F. nucleatum	CRC vs Paired
C7Y58_RS04130	0.286575496739047	-0.539585729870846	4.08254523301738	-0.132168953207664	0.894850657405258	NA	1	0.000220861714063591	NZ_CP028101.1	relB	type II toxin-antitoxin system RelB family antitoxin	F. nucleatum	CRC vs Paired
C7Y58_RS04135	0.418841110618608	-0.122643960881742	4.07810076041381	-0.030073793681669	0.976008200887201	NA	1	0.000322797889785248	NZ_CP028101.1		type II toxin-antitoxin system RelE family toxin	F. nucleatum	CRC vs Paired
C7Y58_RS04145	4.49267409478101	3.06551408280371	3.6742946577735	0.834313621613926	0.404104277895274	NA	4	0.00174990434988845	NZ_CP028101.1		KdsC family phosphatase	F. nucleatum	CRC vs Paired
C7Y58_RS04150	3.67290376890907	2.77189167336277	2.6744340296409	1.03644047400001	0.299996696382541	NA	6	0.00152904263582486	NZ_CP028101.1	ruvC	crossover junction endodeoxyribonuclease RuvC	F. nucleatum	CRC vs Paired
C7Y58_RS04175	3.80764156325408	2.80368887396163	3.65075835179277	0.767974377867225	0.442502407218267	NA	4	0.000917425581494915	NZ_CP028101.1		LytR/AlgR family response regulator transcription factor	F. nucleatum	CRC vs Paired
C7Y58_RS04210	4.71344548095516	-0.220967419671603	3.16070457265428	-0.0699108108943066	0.944264648335895	NA	5	0.00569143647779252	NZ_CP028101.1	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase PdxA	F. nucleatum	CRC vs Paired
C7Y58_RS04215	3.11920467503711	1.7443363365971	3.16510124524815	0.551115494082826	0.581554504709143	NA	5	0.00351679806239717	NZ_CP028101.1		four-carbon acid sugar kinase family protein	F. nucleatum	CRC vs Paired
C7Y58_RS04220	4.50254633274575	3.05854315391047	3.04421120051108	1.00470793662312	0.315037505372341	NA	5	0.00205571287705342	NZ_CP028101.1		DeoR/GlpR family DNA-binding transcription regulator	F. nucleatum	CRC vs Paired
C7Y58_RS04225	4.58602120933407	0.538588731887995	3.17880220644029	0.169431344547581	0.865457370516169	NA	5	0.00387357467742297	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS04230	1.87848589172882	0.115908830839742	4.0758212800368	0.0284381534115489	0.977312694475081	NA	4	0.000832478768393533	NZ_CP028101.1		DUF4241 domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS04235	4.82748628968393	3.13873982302454	4.05271691607979	0.774477933697047	0.438648212395079	NA	2	0.000611617054329943	NZ_CP028101.1		DUF2185 domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS10550	0	NA	NA	NA	NA	NA	0	0	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS04280	4.19623756904236	2.93673631834634	3.09312581557952	0.949439658598601	0.342397048012576	NA	5	0.00108731920769768	NZ_CP028101.1		dihydrofolate reductase	F. nucleatum	CRC vs Paired
C7Y58_RS04310	5.00569242738878	3.21630703938574	3.05169801996709	1.05394014032241	0.291910323773555	NA	5	0.00215764905277508	NZ_CP028101.1		toxin-antitoxin system YwqK family antitoxin	F. nucleatum	CRC vs Paired
C7Y58_RS04315	4.41510775848008	3.02970251841371	3.56207180704205	0.850545043034824	0.395022128991876	NA	4	0.00202173415181287	NZ_CP028101.1		adhesion protein FadA	F. nucleatum	CRC vs Paired
C7Y58_RS04330	3.40879339996882	2.64754179239822	3.50127903818202	0.756164179868656	0.449550766144432	NA	4	0.00125721283390044	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS10675	0	NA	NA	NA	NA	NA	0	0	NZ_CP028101.1		Fic family protein	F. nucleatum	CRC vs Paired
C7Y58_RS10680	0	NA	NA	NA	NA	NA	0	0	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS10685	2.08446103782662	-0.894811651751374	3.44543582574109	-0.25970927830557	0.795088035114123	NA	4	0.0028542129202064	NZ_CP028101.1		cation transporter	F. nucleatum	CRC vs Paired
C7Y58_RS04410	3.39583902820012	2.63250444776995	3.03904209414024	0.866228359536659	0.386364944183521	NA	5	0.0010703298450774	NZ_CP028101.1		site-specific integrase	F. nucleatum	CRC vs Paired
C7Y58_RS04420	4.80958029248783	-0.0027044270348979	2.85908969382927	-0.000945904929367839	0.999245277173416	NA	6	0.00110430857031795	NZ_CP028101.1		enoyl-CoA hydratase/isomerase family protein	F. nucleatum	CRC vs Paired
C7Y58_RS04425	0.0899239257446701	-1.72715749029356	4.09546795225243	-0.421724088780541	0.673226419667885	NA	2	5.09680878608286e-05	NZ_CP028101.1		3-oxoacid CoA-transferase subunit A	F. nucleatum	CRC vs Paired
C7Y58_RS04430	4.44475424862007	0.186153185319159	3.9142988916372	0.047557223010453	0.962069124520824	NA	4	0.000458712790747457	NZ_CP028101.1		CoA transferase subunit B	F. nucleatum	CRC vs Paired
C7Y58_RS04485	2.43075361147232	2.14989591097834	3.47689535064961	0.618337825605439	0.536352672804708	NA	4	0.000747531955292152	NZ_CP028101.1		KH domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS04490	1.32099315506005	1.24232566372849	3.53201429423583	0.35173290939279	0.72503857756927	NA	4	0.000390755340266352	NZ_CP028101.1		DUF4911 domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS04505	0.130101529368865	-1.300943157758	4.09080997245395	-0.318016032648322	0.750472775457521	NA	3	0.000611617054329943	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS04540	2.53999946453666	2.26893698971564	3.62722226662854	0.62553017789687	0.531623148374492	NA	4	0.00453615981961374	NZ_CP028101.1		DUF695 domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS04570	1.03324798420682	0.996697803078351	4.06650700171152	0.245099246763588	0.806379586136692	NA	2	0.00259937248090226	NZ_CP028101.1		ABC transporter ATP-binding protein	F. nucleatum	CRC vs Paired
C7Y58_RS04575	0.557545209723494	0.125753193316089	4.07573452412185	0.0308541178459566	0.975385881139615	NA	3	0.000152904263582486	NZ_CP028101.1		nucleotide-binding protein	F. nucleatum	CRC vs Paired
C7Y58_RS04580	1.78991119440204	1.64967197530955	4.06013722747719	0.406309413422115	0.684515269632975	NA	1	0.00013591490096221	NZ_CP028101.1		nitrogenase component 1	F. nucleatum	CRC vs Paired
C7Y58_RS04585	1.41757870374384	1.29939833731858	4.06322063165561	0.319795171149524	0.749123608415015	NA	2	0.000169893626202762	NZ_CP028101.1		ABC transporter substrate-binding protein	F. nucleatum	CRC vs Paired
C7Y58_RS04590	0	NA	NA	NA	NA	NA	0	0	NZ_CP028101.1		FecCD family ABC transporter permease	F. nucleatum	CRC vs Paired
C7Y58_RS04595	2.07854089734105	-5.80096862914881	3.88388700869343	-1.49359871081839	0.135280536607713	NA	2	0.000152904263582486	NZ_CP028101.1		ABC transporter ATP-binding protein	F. nucleatum	CRC vs Paired
C7Y58_RS04630	2.5227369659725	2.16841700352046	2.95088426397989	0.734836343800178	0.462439170046194	NA	5	0.0007135532300516	NZ_CP028101.1		O-methyltransferase	F. nucleatum	CRC vs Paired
C7Y58_RS04635	4.93453238021823	3.17756501844471	3.86633638576538	0.821854257209356	0.411159849550379	NA	4	0.00127420219652071	NZ_CP028101.1		AraC family transcriptional regulator	F. nucleatum	CRC vs Paired
C7Y58_RS04640	1.15735051486927	1.09074883930074	4.06541709634771	0.268299368416749	0.788468892335777	NA	3	0.00275227674448474	NZ_CP028101.1		membrane lipoprotein lipid attachment site-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS04645	5.51798131752855	3.33555504005585	3.06896956093788	1.08686481694413	0.277096557199948	NA	5	0.0013591490096221	NZ_CP028101.1	trpB	tryptophan synthase subunit beta	F. nucleatum	CRC vs Paired
C7Y58_RS04650	3.31271096426098	2.59919140277107	3.07578862981194	0.845048771420289	0.398083609023518	NA	5	0.000883446856254362	NZ_CP028101.1	citX	citrate lyase holo-[acyl-carrier protein] synthase	F. nucleatum	CRC vs Paired
C7Y58_RS04655	4.57635435609632	0.272469478701948	3.01964176776959	0.0902323850498343	0.928102549737004	NA	5	0.00164796817416679	NZ_CP028101.1	citC	[citrate (pro-3S)-lyase] ligase	F. nucleatum	CRC vs Paired
C7Y58_RS04660	4.61847307626205	3.09184998064831	2.57283701684747	1.20172788264559	0.229468974576617	NA	6	0.00176689371250872	NZ_CP028101.1		flavin reductase family protein	F. nucleatum	CRC vs Paired
