name	La100	La101	La102	La103	La104	La105	La106	La107	La108	La109	La110	La111	La112	La113	La114	La115	La116	La117	La118	La119	La120	La121	La122	La123	La124	La125	La34	La35	La36	La37	La38	La39	La40	La41	La42	La43	La44	La46	La47	La48	La49	La51	La52	La53	La55	La56	La57	La58	La59	La60	La61	La62	La63	La64	La65	La66	La67	La69	La70	La74	La75	La76	La78	La79	La80	La81	La82	La83	La84	La85	La86	La87	La88	La90	La91	La92	La93	La94	La95	La96	La97	La98	La99	Lasse20	Lasse25	Lasse9
Massilia sp. NP310	13.040043018299416	25.634470556988273	47.362528643259736	17.33929740238172	0.0	0.0	0.8485150171505061	8.905969294385539	0.0	11.423997621694284	0.0	29.430133204716476	58.29829148741853	10.879572353130476	10.827942903474325	18.97345814813152	0.0	15.31447158828696	0.0	18.40071209484015	0.0	9.397786471738907	0.0	12.260898745258244	0.0	2.7589225068578145	24.69355634041556	29.231643515472765	12.795029488756427	31.592068895927838	50.21242602728951	0.0	9.892580239216331	27.227068382935098	51.152583872667385	0.0	0.0	0.0	0.0	17.2014456469068	0.0	0.0	5.797372339543804	0.0	8.80798186457123	11.88633549550835	17.395982382952745	27.613202765444115	7.957825546637913	0.0	11.067689009281965	14.243038288381314	42.454997939735634	0.0	3.2523529317449373	24.599496365413287	0.0	0.0	0.0	110.07794093596524	10.332935166181876	0.0	0.0	0.0	0.0	71.92583607046879	29.165578032477097	13.605789869070616	15.428132463225788	12.197814753122426	33.66494473268667	59.502082687295186	28.173529857405004	35.576993191711004	24.639705232780706	41.11208508352799	54.59791219583166	19.257344134915922	0.0	0.0	3.480365267786787	0.0	0.0	0.0	0.0	0.0
Massilia varians	0.0	0.0	0.0	46.56839873782519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.425168371105336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.318709665489376	0.0	19.649509572018797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0147289637636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Massilimicrobiota timonensis	0.0	0.0	0.0	21.797973877279876	0.0	0.0	0.0	0.0	0.0	28.466354729467724	7.933840020571404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.586800999026373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.95474314328563	173.89732837763512	0.0	0.0	0.0	0.0
Mediterraneibacter faecis	71.95035500685208	112.09649836784702	74.89888250562005	7.265991292426626	13.640557333835435	2.824427646256146	29.191893835651623	770.5687523574034	1025.4176931270642	2009.1253522219063	949.2228492497219	1114.6331530867394	950.8335132379051	1135.5553643579933	703.2309945148324	80.44746254807764	188.6056411856474	378.9792476143689	521.354976085335	144.90560774686617	537.3510200854025	379.39212052575584	288.21525479603287	0.0	14.372427576332846	0.0	723.927550435474	10353.721039078213	159.93786860945534	9.78909177056919	39.41910080647027	120.39175311636082	2961.760934756748	640.2307021929304	264.9075153629199	179.68093493210347	3639.0689828585796	2651.7292389468585	1815.6216312178888	243.8236660744091	17.173601998052746	485.44760506443487	698.8732355320055	44.0	3020.8340560353604	29.45744014104243	434.01501809671936	10527.680433063682	2568.067315115022	907.5725521944734	0.0	0.0	65.67257493802856	290.7556756676048	374.6981606781147	67.28685770539516	719.8928242542153	0.0	0.0	0.0	69.33549249191607	19.44487669211616	57.08856819276129	784.9754538146603	1457.7193460202418	21.1991937891908	0.0	3788.456601321218	2334.790712768169	4.391213311124073	15.03482968644259	33.151160354350175	408.9430545968787	0.0	48.53275273123472	83.76587335768826	742.9742916378714	344.16330415477944	340.70222114540906	235.45868075770213	0.0	2.2081290047951687	129.02172105708257	15.048997895222762	0.0	617.9215386223874
Mediterraneibacter glycyrrhizinilyticus	4.909192665712721	13.903441658027537	0.0	57.96279417367604	34.374204481265295	0.0	9.259234046800259	23.479373594289147	27.18979211049313	6.929310032830959	1.9264937908959285	7.2912492173847125	8.328327355345504	6.7997327207065466	5.560295004486815	518.3548766069531	586.0698783151325	81.31768716597442	96.43979390730118	12.075467312238848	74.34075536198738	5.2209924842993924	6.220473125094234	21.139480595272833	24.78004754540146	0.0	7.189263238348834	126.45863172998001	9.139306777683162	8.454215620037028	44.111850902478636	4.174784316124977	11.25038537008916	7.4973086851560415	0.0	31.893365950448366	73.6102191324424	7.398057108443199	7.52477881499421	8.464203413557314	385.54736485628416	15.79975931861464	76.8151834989554	0.0	18.223410754285304	12.661531288693675	0.0	12.044056525353284	17.96928349240819	34.80206311590551	277.9943062919646	0.0	9.28703079931717	0.0	12.060808788554143	0.0	47.35704280155642	43.09867514718683	0.0	9.550140994444472	14.376257622513915	3.9382028743526396	0.0	0.0	3.6453705328543853	0.0	14.28518107713164	192.2951634828647	129.5963126910966	12.563749195716099	0.0	0.0	0.0	9.163770973622531	0.0	0.0	14.75619248535991	10.863117204311546	0.0	6.156326252475915	288.22580513967614	143.39933881140573	11.30495787397267	13.376887017975788	94.23647862580519	9.880960640997614
Mediterraneibacter gnavus	79.92779308863524	319.77915813463335	333.740608811807	895.3682906258447	688.0297119186594	2857.5362147761484	21022.852723606054	559.6592067949094	522.7690696444146	182.4094046480366	40.33207968682121	131.50762224810245	68.90238271312008	80.69016161905103	259.87062968338375	4313.805444559182	2908.8306271450856	162.41967754901523	225.02618578370277	97.7537830038383	127.08876020389542	48.38119702117437	36.80446599014088	18.179953311934636	18.33723518359708	0.0	93.77299876107176	197.63132898504412	3890.1459299208377	6723.771170230501	32.84925067205856	109.44704828760075	156.53553437348194	1266.2559774034598	43.43683099801923	400.98795312347755	91.86787190938678	223.8386509734096	44.073704487823235	60.88765681365423	6224.142704144267	63.989025240389296	1179.1855338632097	104.0	154.89899141142507	2077.00792854122	9.14026193002602	864.2344950631551	300.6004424229999	2845.6124419614616	11915.343779286972	3812.1073065961755	31.177889111993355	151.43524774354418	124.47025699198853	12.299748182706644	53.93440985732814	651.3461066599042	0.7195919320677631	1810.0030379470813	53.91096608442719	24.859905644351038	28.20037705907485	21.488861054507613	25.94646085149298	795.7268811585548	846.9921946982633	3866.16077901791	2745.6933073720825	1601.939011527568	347.43530340627115	25.500892580269365	265.51417532281687	723.3988615647904	36.58622898200771	49.84840316377768	1450.5337213108792	759.4306481923253	53.130950665950735	47.24356446790216	13685.054037772297	7634.856957829841	108.27867908649053	56.851769826397096	1442.8475971110677	79.52968320802958
Megamonas funiformis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5582943411834655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.313935658672383	0.0	0.0	0.0	55.69058649919352	88.64174203259284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2541.5583531976567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0362123821775788	0.0	0.0	0.0	0.0	0.0	2.787636289829824	9.84248283069573	13.68996519891782	4.535263289690205	0.0	5405.583585993734	873.0006541845252	27.200952085620656	0.0	0.0	175.46456756677168	465.59436357095444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Megasphaera coli	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4346224439676343	0.31072480498321425	1.3256816758881296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.427546359554945	0.0
Megasphaera elsdenii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.918144145246611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.67352019045822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1647103720900378	0.0	0.0	1.9705889872062452	0.0	0.0	0.0
Megasphaera hexanoica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.170158535963705	5.229414851030898	0.0	0.0	0.0	0.0	0.0	5.800889859085785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.956846807452564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11470800024909968	0.0	0.0	0.0	0.0
Megasphaera stantonii	0.0	4.3448255181336055	13.217449853932951	0.0	13.094935040482017	3.922816175355758	1.0718084427164287	6.27466018468072	4.712897299152143	4157.211462399504	1629.5651672539689	4.639885865608454	0.0	0.0	0.0	0.0	0.0	0.0	4.108963650185765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8584469996872475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.993877095878191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.852718984741156	0.0	0.0	0.0	0.0	0.0	0.0	16.50753779067796	0.0	0.0	0.0	0.0	0.0	0.0	1276.2573576191994	450.06435822242275	0.0	0.0	0.0	0.0	0.0	0.0	11.35689525905298	0.0	0.17678639576366648	0.0	0.1648927503580808	0.0	0.0	0.0	0.0
Mesorhizobium amorphae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.593087814285543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mesorhizobium sp. Pch-S	17.64241114240509	65.60686532381744	125.01504653511583	19.816339888436254	56.74471850875541	10.983885290996122	0.5359042213582144	15.787854658228909	8.700733475357803	24.533503089212314	1.242899219932857	20.15036147349957	4.745209772231741	16.319358529695712	35.410299765416035	16.69664317035574	24.050383775351015	8.196477751477527	7.492816067985807	30.476179407078995	8.637100208031727	36.19888122447579	19.698164896131743	43.54733002626204	14.868028527240876	4.110609372633791	35.00858620413346	43.211994762003215	49.80922193837323	49.83537628653406	29.095050595251866	5.077440384476323	14.353939954941342	52.48116079609229	98.30440699551721	15.123145356785376	14.78000462895497	4.17326298425001	11.018426121955809	29.21515371776234	18.03228209795538	36.33944643281367	63.77109573498184	57.0	88.0798186457123	21.9638808069176	19.459912496184426	35.54465462360359	16.42905919305892	16.857249321766734	19.531215898732878	28.486076576762628	58.3756221671365	35.58728321973288	11.450992613851966	80.31012048708456	10.852655642023345	70.20913209461081	2.3314778598995525	26.1372279847954	13.777246888242503	3.6920651947056	26.136934835240105	38.55354483308719	5.575272579659648	64.35469543147208	52.37899728281601	14.512842527008656	18.513758955870944	16.83298435930895	50.66083916083916	92.65324304164537	40.12593646357683	91.09866438483576	52.26604140286816	26.20895424074909	37.62829083766777	71.10403988276647	51.138540015977576	1.1023151735852144	13.534753819170838	0.3297855007161616	8.712077627648663	0.0	0.0	0.0
Metapseudomonas otitidis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.75251524502783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanobrevibacter intestini	13.80710437231703	427.9653135361601	353.56678359270643	0.0	0.0	0.0	0.0	936.7460430549153	1553.805986474314	73.97506656670889	14.976935600190927	14.449930267180612	29.294407267349015	0.0	29.850004760929217	0.0	0.0	0.0	0.0	0.0	0.0	77.96682109887092	66.3517133343385	798.6495768894076	1394.6210758551942	0.0	0.0	0.0	0.0	0.0	0.0	23.356225768591088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.6355542992516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.2396228649056	113.43535363999823	289.9746864735742	266.65671343979056	0.0	0.0	339.953097169522	153.94358222422738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.12230404162393	518.9117422389775	0.0	0.0
Methanobrevibacter smithii	894.2401265137329	71.25513849739113	18.724720626405013	0.0	14.731801920542269	0.0	0.0	206.2541525222469	381.2008853891137	1565.087674172117	650.616311660853	1178.7961461997247	1961.0789896444667	668.6403842028104	666.6501063274192	0.0	0.0	3.6668453098715257	0.0	13.225511818166357	0.0	16.707175949758057	15.032810052311065	63.4184417858185	121.42223297246716	0.0	55.32606926903234	0.0	10.053237455451479	0.0	91.97790188176397	694.8195086134489	166.8160589358048	228.0760221063259	0.0	0.0	108.96630863700135	24.280802817454603	0.0	42.0479782479944	0.0	64.38401922335466	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	441.79732231037394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.40189938494326	27.87636289829824	68.14026575097044	45.83162262246401	0.0	0.0	74.52864814157802	41.50920369952628	0.0	0.0	0.0	149.3315468653376	63.723731879468374	15.494002109627905	28.639127175003164	0.0	0.39516959053054856	2.320243511857858	0.0	2682.6976180566703	101.44139321964973	0.0	0.0
Methanobrevibacter sp. TLL-48-HuF1	26.080086036598832	311.5239896501795	187.24720626405013	0.0	0.0	0.0	0.0	698.7137728231563	1273.3885971747616	66.85847788434195	12.511852147324095	29.03242870195004	55.87726609342275	0.0	33.947064237919506	0.0	0.0	0.0	0.0	0.0	0.0	77.27068876763101	46.91273481841902	452.8076743507441	999.6271179814948	0.0	0.0	0.0	0.0	0.0	0.0	20.873921580624884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.1439347439832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.32341889289786	71.62080929255086	238.4909301283965	175.5886840730764	0.0	0.0	220.53649073645346	92.82373110760207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.53097712544956	436.4209389614601	0.0	0.0
Methanomethylophilus alvi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.02869396365059	56.37350230908909	73.78778791717292	10.875368174412499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.28712108975394	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.272547309933433	8.17110309045793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanosphaera stadtmanae	0.0	62.999970012937275	52.319072338484595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.5091995044287	0.0	0.0	0.0	0.0	309.8366954615996	0.0	18.15137892195673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.59278507910988	4.503104775878946	53.75509853687668	37.49860032747055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.306148590947906	20.042141478219893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
