# Pathway	La100_cat_Abundance	La101_cat_Abundance	La102_cat_Abundance	La103_cat_Abundance	La104_cat_Abundance	La105_cat_Abundance	La106_cat_Abundance	La107_cat_Abundance	La108_cat_Abundance	La109_cat_Abundance	La110_cat_Abundance	La111_cat_Abundance	La112_cat_Abundance	La113_cat_Abundance	La114_cat_Abundance	La115_cat_Abundance	La116_cat_Abundance	La117_cat_Abundance	La118_cat_Abundance	La119_cat_Abundance	La120_cat_Abundance	La121_cat_Abundance	La122_cat_Abundance	La123_cat_Abundance	La124_cat_Abundance	La34_cat_Abundance	La35_cat_Abundance	La36_cat_Abundance	La37_cat_Abundance	La38_cat_Abundance	La39_cat_Abundance	La40_cat_Abundance	La41_cat_Abundance	La42_cat_Abundance	La43_cat_Abundance	La44_cat_Abundance	La46_cat_Abundance	La47_cat_Abundance	La48_cat_Abundance	La49_cat_Abundance	La51_cat_Abundance	La52_cat_Abundance	La53_cat_Abundance	La55_cat_Abundance	La56_cat_Abundance	La57_cat_Abundance	La58_cat_Abundance	La59_cat_Abundance	La60_cat_Abundance	La61_cat_Abundance	La62_cat_Abundance	La63_cat_Abundance	La64_cat_Abundance	La65_cat_Abundance	La66_cat_Abundance	La67_cat_Abundance	La69_cat_Abundance	La70_cat_Abundance	La74_cat_Abundance	La75_cat_Abundance	La76_cat_Abundance	La78_cat_Abundance	La79_cat_Abundance	La80_cat_Abundance	La81_cat_Abundance	La82_cat_Abundance	La83_cat_Abundance	La84_cat_Abundance	La85_cat_Abundance	La86_cat_Abundance	La87_cat_Abundance	La88_cat_Abundance	La90_cat_Abundance	La91_cat_Abundance	La92_cat_Abundance	La93_cat_Abundance	La94_cat_Abundance	La95_cat_Abundance	La96_cat_Abundance	La97_cat_Abundance	La99_cat_Abundance	Lasse20_cat_Abundance	Lasse25_cat_Abundance	Lasse9_cat_Abundance
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	3040.1370705916	0	0	0	0	0	0	2049.6783042134	1293.4347884511	0	44518.0163955792	0	1522.9688526311	0	0	0	2223.1572842968	450.1113605637	0	0	0	0	1868.3571397849	0	0	0	0	0	0	0	0	529.7602621419	0	0	2243.0580701290	1845.0374933741	0	0	0	0	0	0	0	0	848.5758428295	0	0	0	0	0	0	0	0	8935.2487441353	0	0	0	168618.7759171317	0	269.0965545591	0	0	0	2241.9204606744	0	0	2609.8811497082	1008.0325991826	0	565.7038682160	0	0	0	0	0	0	0	0	38350.2338925997	0	1551.2987628781	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	744.1239535290	0	0	0	0	0	22213.5269308803	15861.3993438854	3969.5032951328	3406.8935358767	13203.2217958338	15955.6266951355	36553.9983755744	0	0	0	0	1761.8318946090	0	0	4979.4245884296	3996.2412226304	2533.9890397804	0	0	0	0	0	0	0	1046.9000567959	325.1125280812	0	2153.8401082586	997.2227523040	1079.3936563251	2012.5759453020	0	0	0	0	0	0	0	4534.5616068167	0	0	0	0	0	0	0	1279.0237306864	14156.0964976334	0	4778.1105361759	0	14552.6215706398	722.4435166016	0	304.4594051511	0	0	1305.4984346098	0	0	1266.4618221170	0	0	0	0	0	0	0	0	0	0	0	10632.9626455509	8419.7225974560	7607.7069478150	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	182.7310747703	0	0	691.5691283338	0	0	4568.6685693808	1373.5948864540	1279.5182341838	0	10631.6287170524	0	0.0000000000	0	0	0	0	178.9878784471	0	0	0	2352.1191442148	1333.8147837182	0	0	0	0	0	0	0	1712.9934092092	214.5755911132	0	0	705.7784077970	0	0	0	0	0	0	0	0	0	455.3794479715	0	4035.1221161494	0	0	0	0	0	0.0000000000	2265.8452898347	0	2501.6150503285	0	0	1733.9084523257	0	619.0507476878	0	0	0	0	0	779.2099026430	0	0	0	0	0	0	0	0	0	0	0	24112.7878953183	11860.6626786305	0	0	0	0
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	0	0	0	14656.6860228380	1640.1502382875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2912.6026376000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20308.3424424251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum	0	0	0	0	0	0	0	0	0	0	26798.2129440933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_breve	0	0	0	0	0	0	0	58541.9762762787	42753.3037366322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	56279.5618096887	41479.4662545762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_scardovii	0	0	0	0	0	0	0	0	0	0	119.4789718746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23749.4536798371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
